#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
indep_o_M	<center><big><big><big><big><big>ओं</big></big></big></big></big></center>	<center><big><big><b>oṁ</b></big></big><br><big>ओ (o) + ◌ं (anusvāra)</big></center>
anusvara_before_pa	<center><big><big><big>◌ं + प</big></big></big><br><small>anusvāra before p</small></center>	<center><big><big>→ <b>m</b> (म)</big></big><br>anusvāra becomes m, the labial (प-varga) nasal<br><small>e.g. संपूर्ण saṃpūrṇa → sampūrṇa</small></center>
anusvara_before_pha	<center><big><big><big>◌ं + फ</big></big></big><br><small>anusvāra before ph</small></center>	<center><big><big>→ <b>m</b> (म)</big></big><br>anusvāra becomes m, the labial (प-varga) nasal<br><small>e.g. संपूर्ण saṃpūrṇa → sampūrṇa</small></center>
anusvara_before_ba	<center><big><big><big>◌ं + ब</big></big></big><br><small>anusvāra before b</small></center>	<center><big><big>→ <b>m</b> (म)</big></big><br>anusvāra becomes m, the labial (प-varga) nasal<br><small>e.g. संपूर्ण saṃpūrṇa → sampūrṇa</small></center>
anusvara_before_bha	<center><big><big><big>◌ं + भ</big></big></big><br><small>anusvāra before bh</small></center>	<center><big><big>→ <b>m</b> (म)</big></big><br>anusvāra becomes m, the labial (प-varga) nasal<br><small>e.g. संपूर्ण saṃpūrṇa → sampūrṇa</small></center>
anusvara_before_ma	<center><big><big><big>◌ं + म</big></big></big><br><small>anusvāra before m</small></center>	<center><big><big>→ <b>m</b> (म)</big></big><br>anusvāra becomes m, the labial (प-varga) nasal<br><small>e.g. संपूर्ण saṃpūrṇa → sampūrṇa</small></center>
anusvara_before_ya	<center><big><big><big>◌ं + य</big></big></big><br><small>anusvāra before y</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a semivowel — the vowel is nasalised<br><small>e.g. संयोग saṃyoga → saṃyoga (nasalised a)</small></center>
anusvara_before_ra	<center><big><big><big>◌ं + र</big></big></big><br><small>anusvāra before r</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a semivowel — the vowel is nasalised<br><small>e.g. संयोग saṃyoga → saṃyoga (nasalised a)</small></center>
anusvara_before_la	<center><big><big><big>◌ं + ल</big></big></big><br><small>anusvāra before l</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a semivowel — the vowel is nasalised<br><small>e.g. संयोग saṃyoga → saṃyoga (nasalised a)</small></center>
anusvara_before_va	<center><big><big><big>◌ं + व</big></big></big><br><small>anusvāra before v</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a semivowel — the vowel is nasalised<br><small>e.g. संयोग saṃyoga → saṃyoga (nasalised a)</small></center>
anusvara_before_sha	<center><big><big><big>◌ं + श</big></big></big><br><small>anusvāra before ś</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a sibilant — the vowel is nasalised<br><small>e.g. संस्कृत saṃskṛta → saṃskṛta (nasalised a)</small></center>
anusvara_before_Sha	<center><big><big><big>◌ं + ष</big></big></big><br><small>anusvāra before ṣ</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a sibilant — the vowel is nasalised<br><small>e.g. संस्कृत saṃskṛta → saṃskṛta (nasalised a)</small></center>
anusvara_before_sa	<center><big><big><big>◌ं + स</big></big></big><br><small>anusvāra before s</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a sibilant — the vowel is nasalised<br><small>e.g. संस्कृत saṃskṛta → saṃskṛta (nasalised a)</small></center>
anusvara_before_ha	<center><big><big><big>◌ं + ह</big></big></big><br><small>anusvāra before h</small></center>	<center><big><big>→ <b>nasalised vowel</b> (anusvāra ṃ kept)</big></big><br>no stop nasal before a aspirate ह — the vowel is nasalised<br><small>e.g. सिंह siṃha → siṃha (nasalised i)</small></center>
