#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
sa_tha	<center><big><big><big><big><big>स्थ</big></big></big></big></big></center>	<center><big><big><b>stha</b></big></big><br><big>स् (s) + थ (tha)</big><br><small>frequency: 3.492%</small></center>
sha_va	<center><big><big><big><big><big>श्व</big></big></big></big></big></center>	<center><big><big><b>śva</b></big></big><br><big>श् (ś) + व (va)</big><br><small>frequency: 3.454%</small></center>
Sha_ya	<center><big><big><big><big><big>ष्य</big></big></big></big></big></center>	<center><big><big><b>ṣya</b></big></big><br><big>ष् (ṣ) + य (ya)</big><br><small>frequency: 3.44%</small></center>
ra_Na	<center><big><big><big><big><big>र्ण</big></big></big></big></big></center>	<center><big><big><b>rṇa</b></big></big><br><big>र् (r) + ण (ṇa)</big><br><small>frequency: 3.357%</small></center>
ta_sa	<center><big><big><big><big><big>त्स</big></big></big></big></big></center>	<center><big><big><b>tsa</b></big></big><br><big>त् (t) + स (sa)</big><br><small>frequency: 3.35%</small></center>
sha_ya	<center><big><big><big><big><big>श्य</big></big></big></big></big></center>	<center><big><big><b>śya</b></big></big><br><big>श् (ś) + य (ya)</big><br><small>frequency: 3.276%</small></center>
bha_ya	<center><big><big><big><big><big>भ्य</big></big></big></big></big></center>	<center><big><big><b>bhya</b></big></big><br><big>भ् (bh) + य (ya)</big><br><small>frequency: 3.24%</small></center>
ha_ma	<center><big><big><big><big><big>ह्म</big></big></big></big></big></center>	<center><big><big><b>hma</b></big></big><br><big>ह् (h) + म (ma)</big><br><small>frequency: 2.98%</small></center>
na_ma	<center><big><big><big><big><big>न्म</big></big></big></big></big></center>	<center><big><big><b>nma</b></big></big><br><big>न् (n) + म (ma)</big><br><small>frequency: 2.803%</small></center>
sa_ta_ra	<center><big><big><big><big><big>स्त्र</big></big></big></big></big></center>	<center><big><big><b>stra</b></big></big><br><big>स् (s) + त् (t) + र (ra)</big><br><small>frequency: 2.764%</small></center>
