#separator:Tab
#html:true
#deck:🕉️ Bhagavad Gita
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
gita_verse:1.13	<center><big>ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः।<br><br>सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्।।1.13।।<br> </big></center>	<b>IAST:</b><br>tataḥ śhaṅkhāśhcha bheryaśhcha paṇavānaka-gomukhāḥ<br>sahasaivābhyahanyanta sa śhabdastumulo ’bhavat<br><br><br><b>Literal — Gambirananda:</b><br>Just immediately afterward, conch shells, kettledrums, tabors, trumpets, and cow-horns blared forth, creating a tumultuous sound.<br><br><b>Devotional — Sivananda:</b><br>Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.<br><br>[sound:gita_1_13.mp3]
gita_verse:1.14	<center><big>ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ।<br><br>माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः।।1.14।।<br> </big></center>	<b>IAST:</b><br>tataḥ śhvetairhayairyukte mahati syandane sthitau<br>mādhavaḥ pāṇḍavaśhchaiva divyau śhaṅkhau pradadhmatuḥ<br><br><br><b>Literal — Gambirananda:</b><br>Then Madhava (Krishna) and the son of Pandu (Arjuna), stationed in their magnificent chariot with white horses yoked to it, blew their divine conchs loudly.<br><br><b>Devotional — Sivananda:</b><br>Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.<br><br>[sound:gita_1_14.mp3]
gita_verse:1.15	<center><big>पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः।<br><br>पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः।।1.15।।<br> </big></center>	<b>IAST:</b><br>pāñchajanyaṁ hṛiṣhīkeśho devadattaṁ dhanañjayaḥ<br>pauṇḍraṁ dadhmau mahā-śhaṅkhaṁ bhīma-karmā vṛikodaraḥ<br><br><br><b>Literal — Gambirananda:</b><br>Hrsikesa (Krsna) blew the conch Pancajanya; Dhananjaya (Arjuna) blew the conch Devadatta; and Vrkodara (Bhima) of terrible deeds blew the great conch Paundra.<br><br><b>Devotional — Sivananda:</b><br>Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.<br><br>[sound:gita_1_15.mp3]
gita_verse:1.16-18	<center><big>अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः।<br><br>नकुलः सहदेवश्च सुघोषमणिपुष्पकौ।।1.16।।<br> <br><br>काश्यश्च परमेष्वासः शिखण्डी च महारथः।<br><br>धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः।।1.17।।<br> <br><br>द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते।<br><br>सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्।।1.18।।<br> </big></center>	<b>IAST:</b><br>anantavijayaṁ rājā kuntī-putro yudhiṣhṭhiraḥ<br>nakulaḥ sahadevaśhcha sughoṣha-maṇipuṣhpakau<br><br>kāśhyaśhcha parameṣhvāsaḥ śhikhaṇḍī cha mahā-rathaḥ<br>dhṛiṣhṭadyumno virāṭaśhcha sātyakiśh chāparājitaḥ<br><br>drupado draupadeyāśhcha sarvaśhaḥ pṛithivī-pate<br>saubhadraśhcha mahā-bāhuḥ śhaṅkhāndadhmuḥ pṛithak pṛithak<br><br><br><b>Literal — Gambirananda:</b><br>King Yudhisthira, son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosa and the Manipuspaka, respectively. And the King of Kashi, wielding a great bow, and the great chariot-rider Sikhandin, Dhrstadyumna, Virata, and Satyaki the unconquered; Drupada and the sons of Draupadi, as well as the mighty-armed son of Subhadra, all of them together, O king, blew their respective conchs.<br><br><b>Devotional — Sivananda:</b><br>King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka. The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered. Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty-armed, blew their conches each separately.<br><br>[sound:gita_1_16-18.mp3]
gita_verse:1.19	<center><big>स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्।<br><br>नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्।।1.19।।<br> </big></center>	<b>IAST:</b><br>sa ghoṣho dhārtarāṣhṭrāṇāṁ hṛidayāni vyadārayat<br>nabhaśhcha pṛithivīṁ chaiva tumulo nunādayan<br><br><br><b>Literal — Gambirananda:</b><br>That tremendous sound pierced the hearts of the sons of Dhrtarastra as it reverberated through the sky and the earth.<br><br><b>Devotional — Sivananda:</b><br>The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.<br><br>[sound:gita_1_19.mp3]
gita_verse:1.20	<center><big>अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः।<br><br>प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः।।1.20।।<br> </big></center>	<b>IAST:</b><br>atha vyavasthitān dṛiṣhṭvā dhārtarāṣhṭrān kapi-dhwajaḥ<br>pravṛitte śhastra-sampāte dhanurudyamya pāṇḍavaḥ<br>hṛiṣhīkeśhaṁ tadā vākyam idam āha mahī-pate<br><br><br><b>Literal — Gambirananda:</b><br>O King, thereafter, seeing Dhrtarastra's men standing in their positions, with all the weapons ready for action, the son of Pandu, Arjuna, who had the insignia of Hanuman on his chariot-flag, raised his bow and said the following to Hrsikesa.<br><br><b>Devotional — Sivananda:</b><br>Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.<br><br>[sound:gita_1_20.mp3]
gita_verse:1.21-22	<center><big>अर्जुन उवाच<br><br>हृषीकेशं तदा वाक्यमिदमाह महीपते।<br><br>सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत।।1.21।।<br> <br><br>यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्।<br><br>कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे।।1.22।।<br> </big></center>	<b>IAST:</b><br>arjuna uvācha<br>senayor ubhayor madhye rathaṁ sthāpaya me ’chyuta<br><br>yāvadetān nirīkṣhe ’haṁ yoddhu-kāmān avasthitān<br>kairmayā saha yoddhavyam asmin raṇa-samudyame<br><br><br><b>Literal — Gambirananda:</b><br>Arjuna said, "O Acyuta, please place my chariot between both the armies." Until I survey those who stand intent on fighting and those who are about to engage in battle with me in this impending war.<br><br><b>Devotional — Sivananda:</b><br>Arjuna said, "O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence." Arjuna said, "O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence."<br><br>[sound:gita_1_21-22.mp3]
gita_verse:1.23	<center><big>योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः।<br><br>धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः।।1.23।।<br> </big></center>	<b>IAST:</b><br>yotsyamānān avekṣhe ’haṁ ya ete ’tra samāgatāḥ<br>dhārtarāṣhṭrasya durbuddher yuddhe priya-chikīrṣhavaḥ<br><br><br><b>Literal — Gambirananda:</b><br>These who have assembled here and want to accomplish in the war what is dear to the perverted son of Dhrtarastra, I find them to be intent on fighting.<br><br><b>Devotional — Sivananda:</b><br>For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.<br><br>[sound:gita_1_23.mp3]
gita_verse:1.24	<center><big>संजय उवाच<br><br>एवमुक्तो हृषीकेशो गुडाकेशेन भारत।<br><br>सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्।।1.24।।<br> </big></center>	<b>IAST:</b><br>sañjaya uvācha<br>evam ukto hṛiṣhīkeśho guḍākeśhena bhārata<br>senayor ubhayor madhye sthāpayitvā rathottamam<br><br><br><b>Literal — Gambirananda:</b><br>Sanjaya said, "O scion of the line of Bharata, Hrishikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhishma and Drona as well as all the rulers of the earth, and said, 'O Partha, behold these assembled Kurus!'"<br><br><b>Devotional — Sivananda:</b><br>Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.<br><br>[sound:gita_1_24.mp3]
gita_verse:1.25	<center><big>भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्।<br><br>उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति।।1.25।।<br> </big></center>	<b>IAST:</b><br>bhīṣhma-droṇa-pramukhataḥ sarveṣhāṁ cha mahī-kṣhitām<br>uvācha pārtha paśhyaitān samavetān kurūn iti<br><br><br><b>Literal — Gambirananda:</b><br>Sanjaya said, "O scion of the line of Bharata (Dhrtarashtra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhisma and Drona as well as all the rulers of the earth, and said, 'O Partha (Arjuna), behold these assembled people of the Kuru dynasty.'"<br><br><b>Devotional — Sivananda:</b><br>In front of Bhishma and Drona, and all the rulers of the earth, he said: "O Arjuna, son of Pritha, behold these Kurus gathered together."<br><br>[sound:gita_1_25.mp3]
gita_verse:1.26	<center><big>तत्रापश्यत्स्थितान्पार्थः पितृ़नथ पितामहान्।<br><br>आचार्यान्मातुलान्भ्रातृ़न्पुत्रान्पौत्रान्सखींस्तथा।।1.26।।<br> </big></center>	<b>IAST:</b><br>tatrāpaśhyat sthitān pārthaḥ pitṝīn atha pitāmahān<br>āchāryān mātulān bhrātṝīn putrān pautrān sakhīṁs tathā<br>śhvaśhurān suhṛidaśh chaiva senayor ubhayor api<br><br><br><b>Literal — Gambirananda:</b><br>Then Arjuna saw, marshalled among both the armies, his uncles, grandfathers, teachers, maternal uncles, brothers, cousins, sons, grandsons, comrades, fathers-in-law, and friends.<br><br><b>Devotional — Sivananda:</b><br>Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.<br><br>[sound:gita_1_26.mp3]
gita_verse:1.27	<center><big>श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि।<br><br>तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्।।1.27।।<br> </big></center>	<b>IAST:</b><br>tān samīkṣhya sa kaunteyaḥ sarvān bandhūn avasthitān<br>kṛipayā parayāviṣhṭo viṣhīdann idam abravīt<br><br><br><b>Literal — Gambirananda:</b><br>The son of Kunti, Arjuna, seeing all those relatives arrayed there, became overwhelmed by supreme compassion and sorrowfully said this:<br><br><b>Devotional — Sivananda:</b><br>He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.<br><br>[sound:gita_1_27.mp3]
gita_verse:1.28	<center><big>अर्जुन उवाच<br><br>कृपया परयाऽऽविष्टो विषीदन्निदमब्रवीत्।<br><br>दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्।।1.28।।<br> </big></center>	<b>IAST:</b><br>arjuna uvācha<br>dṛiṣhṭvemaṁ sva-janaṁ kṛiṣhṇa yuyutsuṁ samupasthitam<br><br><br><b>Literal — Gambirananda:</b><br>Arjuna said, "O Krsna, seeing these relatives and friends who have assembled here with the intention of fighting, my limbs become languid and my mouth becomes completely dry."<br><br><b>Devotional — Sivananda:</b><br>Arjuna said, "O Krishna, seeing my kinsmen arrayed here, eager to fight,<br><br>[sound:gita_1_28.mp3]
gita_verse:1.29-31	<center><big>सीदन्ति मम गात्राणि मुखं च परिशुष्यति।<br><br>वेपथुश्च शरीरे मे रोमहर्षश्च जायते।।1.29।।<br> <br><br>गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते।<br><br>न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः।।1.30।।<br> <br><br>निमित्तानि च पश्यामि विपरीतानि केशव।<br><br>न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे।।1.31।।<br> </big></center>	<b>IAST:</b><br>sīdanti mama gātrāṇi mukhaṁ cha pariśhuṣhyati<br>vepathuśh cha śharīre me roma-harṣhaśh cha jāyate<br><br>gāṇḍīvaṁ sraṁsate hastāt tvak chaiva paridahyate<br>na cha śhaknomy avasthātuṁ bhramatīva cha me manaḥ<br><br>nimittāni cha paśhyāmi viparītāni keśhava<br>na cha śhreyo ’nupaśhyāmi hatvā sva-janam āhave<br><br><br><b>Literal — Gambirananda:</b><br>And there is trembling in my body, and my hair stands on end; the Gandiva (bow) slips from my hand and my skin burns intensely. Moreover, O Kesava (Krishna), I am not able to stand firmly, and my mind seems to be whirling. And I observe the omens to be adverse. Besides, I do not see any good to be derived from killing my own people in battle. O Krsna, I do not hanker after victory, nor even a kingdom, nor pleasures.<br><br><b>Devotional — Sivananda:</b><br>My limbs fail, my mouth is parched, my body quivers, and my hair stands on end. The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were. And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.<br><br>[sound:gita_1_29-31.mp3]
gita_verse:1.32-33	<center><big>न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च।<br><br>किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा।।1.32।।<br> <br><br>येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च।<br><br>त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च।।1.33।।<br> </big></center>	<b>IAST:</b><br>na kāṅkṣhe vijayaṁ kṛiṣhṇa na cha rājyaṁ sukhāni cha<br>kiṁ no rājyena govinda kiṁ bhogair jīvitena vā<br><br>yeṣhām arthe kāṅkṣhitaṁ no rājyaṁ bhogāḥ sukhāni cha<br>ta ime ’vasthitā yuddhe prāṇāṁs tyaktvā dhanāni cha<br><br><br><b>Literal — Gambirananda:</b><br>O Govinda! What need do we have of a kingdom, or what need of enjoyments and livelihood? Those for whom kingdom, enjoyments, and pleasures are desired by us—such as teachers, uncles, fathers-in-law, grandsons, brothers-in-law, as well as relatives—those very ones stand arrayed for battle, risking their lives and wealth. - O Govinda! What need do we have of a kingdom, or what need of enjoyments and livelihood? Those for whom kingdom, enjoyments, and pleasures are desired by us—such as teachers, uncles, fathers-in-law, grandsons, brothers-in-law, as well as relatives—those very ones stand arrayed for battle, risking their lives and wealth.<br><br><b>Devotional — Sivananda:</b><br>I desire not victory, O Krishna, nor kingdom, nor pleasures.<br>What use is dominion to us, O Krishna, or pleasures or even life? Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.<br><br>[sound:gita_1_32-33.mp3]
gita_verse:1.34-35	<center><big>आचार्याः पितरः पुत्रास्तथैव च पितामहाः।<br><br>मातुलाः श्चशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा।।1.34।।<br> <br><br>एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन।<br><br>अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते।।1.35।।<br> </big></center>	<b>IAST:</b><br>āchāryāḥ pitaraḥ putrās tathaiva cha pitāmahāḥ<br>mātulāḥ śhvaśhurāḥ pautrāḥ śhyālāḥ sambandhinas tathā<br><br>etān na hantum ichchhāmi ghnato ’pi madhusūdana<br>api trailokya-rājyasya hetoḥ kiṁ nu mahī-kṛite<br><br><br><b>Literal — Gambirananda:</b><br>- O Govinda! What need do we have of a kingdom, or what need of enjoyments and livelihood? Those for whom kingdom, enjoyments, and pleasures are desired by us—such as teachers, uncles, fathers-in-law, grandsons, brothers-in-law, as well as relatives—those very ones stand arrayed for battle, risking their lives and wealth. O Madhusudana, even if I am killed, I do not want to kill these even for the sake of a kingdom extending across the three worlds; let alone doing so for the earth!<br><br><b>Devotional — Sivananda:</b><br>Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives— These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth."<br><br>[sound:gita_1_34-35.mp3]
gita_verse:1.36-37	<center><big>निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन।<br><br>पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः।।1.36।।<br> <br><br>तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्।<br><br>स्वजनं हि कथं हत्वा सुखिनः स्याम माधव।।1.37।।<br> </big></center>	<b>IAST:</b><br>nihatya dhārtarāṣhṭrān naḥ kā prītiḥ syāj janārdana<br>pāpam evāśhrayed asmān hatvaitān ātatāyinaḥ<br><br>tasmān nārhā vayaṁ hantuṁ dhārtarāṣhṭrān sa-bāndhavān <br>sva-janaṁ hi kathaṁ hatvā sukhinaḥ syāma mādhava<br><br><br><b>Literal — Gambirananda:</b><br>O Janardana, what happiness will we gain by killing the sons of Dhrtarastra? We will only incur sin by killing these wrongdoers. Therefore, it is not proper for us to kill the sons of Dhrtarastra, who are our own relatives. For, O Madhava, how can we be happy by killing our kinsmen?<br><br><b>Devotional — Sivananda:</b><br>By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons. Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?<br><br>[sound:gita_1_36-37.mp3]
