#separator:Tab
#html:true
#deck:🕉️ Vedanta Glossary
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
vedanta:adbhutam	<center><big>अद्भुतम्</big></center>	<b>adbhutam</b><br><br>Increase; a wonder, unexpected occurrence.
vedanta:ādeśaḥ	<center><big>आदेशः</big></center>	<b>ādeśaḥ</b><br><br>Substitute, replacement; instruction, teaching; ord er; advice; illustration; command, rule.
vedanta:adhama	<center><big>अधम</big></center>	<b>adhama</b><br><br>Lowest.
vedanta:adhamaguruḥ	<center><big>अधमगुरुः</big></center>	<b>adhamaguruḥ</b><br><br>A teacher who is established in the self but does n ot have teaching skills.
vedanta:ādhānam	<center><big>आधानम्</big></center>	<b>ādhānam</b><br><br>Keeping the sacred fire; performing; imparting mora l instruction.
vedanta:adhara	<center><big>अधर</big></center>	<b>adhara</b><br><br>Lower ( lit . not held up), low.
vedanta:ādhāra	<center><big>आधार</big></center>	<b>ādhāra</b><br><br>Support; stay.
vedanta:adharmaḥ	<center><big>अधर्मः</big></center>	<b>adharmaḥ</b><br><br>Improper action.
vedanta:ādheya	<center><big>आधेय</big></center>	<b>ādheya</b><br><br>To be attributed; to be held; to be placed.
vedanta:ādhibhautika	<center><big>आधिभौतिक</big></center>	<b>ādhibhautika</b><br><br>Caused by earthly events; relating to natural cause s.
vedanta:ādhidaivika	<center><big>आधिदैविक</big></center>	<b>ādhidaivika</b><br><br>Relating to deities; caused by fate.
vedanta:adhigamaḥ	<center><big>अधिगमः</big></center>	<b>adhigamaḥ</b><br><br>Mastery, knowledge; acquisition, gain,
vedanta:adhigata	<center><big>अधिगत</big></center>	<b>adhigata</b><br><br>Studied; known; acquired.
vedanta:adhika	<center><big>अधिक</big></center>	<b>adhika</b><br><br>More, additional, greater.
vedanta:adhikāraḥ	<center><big>अधिकारः</big></center>	<b>adhikāraḥ</b><br><br>Choice; authority; position; effort; context; beginning; watching over; a word or sūtra carried over into the following sūtras .
vedanta:adhikaraṇam	<center><big>अधिकरणम्</big></center>	<b>adhikaraṇam</b><br><br>Agreement; grammatical relation; location; topic; c hapter, section; the sense of the locative case; placing at the head, appointing.
vedanta:adhikārī	<center><big>अधिकारी</big></center>	<b>adhikārī</b><br><br>One qualified for self-knowledge.
vedanta:adhikṛta	<center><big>अधिकृत</big></center>	<b>adhikṛta</b><br><br>Authorized; one who has authorized qualifications.
vedanta:adhikṛtya	<center><big>अधिकृत्य</big></center>	<b>adhikṛtya</b><br><br>indeclinable With reference to, regarding; aiming at, alluding to , referring to.
vedanta:ādhikyam	<center><big>आधिक्यम्</big></center>	<b>ādhikyam</b><br><br>Abundace; preponderance; excess.
vedanta:adhimātram	<center><big>अधिमात्रम्</big></center>	<b>adhimātram</b><br><br>Beyond measure.
vedanta:adhiṣṭhānam	<center><big>अधिष्ठानम्</big></center>	<b>adhiṣṭhānam</b><br><br>The substance of which something is made; basis.
vedanta:adhiṣṭhānānanyatvam	<center><big>अधिष्ठानानन्यत्वम्</big></center>	<b>adhiṣṭhānānanyatvam</b><br><br>Not enjoying the status of being other than the sub stance.
vedanta:adhīta	<center><big>अधीत</big></center>	<b>adhīta</b><br><br>Studied, learned.
vedanta:adhunā	<center><big>अधुना</big></center>	<b>adhunā</b><br><br>ind . Now, at this time.
vedanta:adhvaryuḥ	<center><big>अध्वर्युः</big></center>	<b>adhvaryuḥ</b><br><br>An officiating priest along with hotṛ , udgātṛ , and brahman .
vedanta:adhyāhāraḥ	<center><big>अध्याहारः</big></center>	<b>adhyāhāraḥ</b><br><br>A mode of interpreting a sentence by supplying extr a words; inferring .
vedanta:adhyakṣa	<center><big>अध्यक्ष</big></center>	<b>adhyakṣa</b><br><br>Perceptible to the senses, visible.
vedanta:adhyakṣaram	<center><big>अध्यक्षरम्</big></center>	<b>adhyakṣaram</b><br><br>The syllable oṃ ; above all syllables.
vedanta:adhyāpanam	<center><big>अध्यापनम्</big></center>	<b>adhyāpanam</b><br><br>Teaching, instuction - especially of Veda .
vedanta:adhyāropaḥ	<center><big>अध्यारोपः</big></center>	<b>adhyāropaḥ</b><br><br>Superimposition; attributing the properties of a th ing to another; erroneous knowledge.
vedanta:adhyāsaḥ	<center><big>अध्यासः</big></center>	<b>adhyāsaḥ</b><br><br>Imposition; false attribution.
vedanta:ādhyāsika	<center><big>आध्यासिक</big></center>	<b>ādhyāsika</b><br><br>Caused by adhyāsa ( i.e. by attributing the nature and properties of one th ing to another).
vedanta:adhyasta	<center><big>अध्यस्त</big></center>	<b>adhyasta</b><br><br>Attributed; wrongly ascribed; placed upon.
vedanta:adhyātma	<center><big>अध्यात्म</big></center>	<b>adhyātma</b><br><br>Belonging to self. indeclinable Concerning self.
vedanta:ādhyātmika	<center><big>आध्यात्मिक</big></center>	<b>ādhyātmika</b><br><br>Belonging to the person; concerning an individual.
vedanta:adhyavasānam	<center><big>अध्यवसानम्</big></center>	<b>adhyavasānam</b><br><br>Identification of two things in such a manner that one is completely absorbed into the other; final conclusion.
