#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
gha_aM	<center><big><big><big><big><big>घं</big></big></big></big></big></center>	<center><big><big><b>ghaṁ</b></big></big></center>
gha_aH	<center><big><big><big><big><big>घः</big></big></big></big></big></center>	<center><big><big><b>ghaḥ</b></big></big></center>
GNa_aa	<center><big><big><big><big><big>ङा</big></big></big></big></big></center>	<center><big><big><b>ṅā</b></big></big></center>
GNa_i	<center><big><big><big><big><big>ङि</big></big></big></big></big></center>	<center><big><big><b>ṅi</b></big></big></center>
GNa_ii	<center><big><big><big><big><big>ङी</big></big></big></big></big></center>	<center><big><big><b>ṅī</b></big></big></center>
GNa_u	<center><big><big><big><big><big>ङु</big></big></big></big></big></center>	<center><big><big><b>ṅu</b></big></big></center>
GNa_uu	<center><big><big><big><big><big>ङू</big></big></big></big></big></center>	<center><big><big><b>ṅū</b></big></big></center>
GNa_RRi	<center><big><big><big><big><big>ङृ</big></big></big></big></big></center>	<center><big><big><b>ṅṛ</b></big></big></center>
GNa_RRI	<center><big><big><big><big><big>ङॄ</big></big></big></big></big></center>	<center><big><big><b>ṅṝ</b></big></big></center>
GNa_LLi	<center><big><big><big><big><big>ङॢ</big></big></big></big></big></center>	<center><big><big><b>ṅḷ</b></big></big></center>
GNa_e	<center><big><big><big><big><big>ङे</big></big></big></big></big></center>	<center><big><big><b>ṅe</b></big></big></center>
GNa_ai	<center><big><big><big><big><big>ङै</big></big></big></big></big></center>	<center><big><big><b>ṅai</b></big></big></center>
GNa_o	<center><big><big><big><big><big>ङो</big></big></big></big></big></center>	<center><big><big><b>ṅo</b></big></big></center>
GNa_au	<center><big><big><big><big><big>ङौ</big></big></big></big></big></center>	<center><big><big><b>ṅau</b></big></big></center>
GNa_aM	<center><big><big><big><big><big>ङं</big></big></big></big></big></center>	<center><big><big><b>ṅaṁ</b></big></big></center>
GNa_aH	<center><big><big><big><big><big>ङः</big></big></big></big></big></center>	<center><big><big><b>ṅaḥ</b></big></big></center>
ca_aa	<center><big><big><big><big><big>चा</big></big></big></big></big></center>	<center><big><big><b>cā</b></big></big></center>
ca_i	<center><big><big><big><big><big>चि</big></big></big></big></big></center>	<center><big><big><b>ci</b></big></big></center>
ca_ii	<center><big><big><big><big><big>ची</big></big></big></big></big></center>	<center><big><big><b>cī</b></big></big></center>
ca_u	<center><big><big><big><big><big>चु</big></big></big></big></big></center>	<center><big><big><b>cu</b></big></big></center>
ca_uu	<center><big><big><big><big><big>चू</big></big></big></big></big></center>	<center><big><big><b>cū</b></big></big></center>
ca_RRi	<center><big><big><big><big><big>चृ</big></big></big></big></big></center>	<center><big><big><b>cṛ</b></big></big></center>
ca_RRI	<center><big><big><big><big><big>चॄ</big></big></big></big></big></center>	<center><big><big><b>cṝ</b></big></big></center>
ca_LLi	<center><big><big><big><big><big>चॢ</big></big></big></big></big></center>	<center><big><big><b>cḷ</b></big></big></center>
ca_e	<center><big><big><big><big><big>चे</big></big></big></big></big></center>	<center><big><big><b>ce</b></big></big></center>
ca_ai	<center><big><big><big><big><big>चै</big></big></big></big></big></center>	<center><big><big><b>cai</b></big></big></center>
ca_o	<center><big><big><big><big><big>चो</big></big></big></big></big></center>	<center><big><big><b>co</b></big></big></center>
ca_au	<center><big><big><big><big><big>चौ</big></big></big></big></big></center>	<center><big><big><b>cau</b></big></big></center>
ca_aM	<center><big><big><big><big><big>चं</big></big></big></big></big></center>	<center><big><big><b>caṁ</b></big></big></center>
ca_aH	<center><big><big><big><big><big>चः</big></big></big></big></big></center>	<center><big><big><b>caḥ</b></big></big></center>
cha_aa	<center><big><big><big><big><big>छा</big></big></big></big></big></center>	<center><big><big><b>chā</b></big></big></center>
cha_i	<center><big><big><big><big><big>छि</big></big></big></big></big></center>	<center><big><big><b>chi</b></big></big></center>
cha_ii	<center><big><big><big><big><big>छी</big></big></big></big></big></center>	<center><big><big><b>chī</b></big></big></center>
cha_u	<center><big><big><big><big><big>छु</big></big></big></big></big></center>	<center><big><big><b>chu</b></big></big></center>
cha_uu	<center><big><big><big><big><big>छू</big></big></big></big></big></center>	<center><big><big><b>chū</b></big></big></center>
cha_RRi	<center><big><big><big><big><big>छृ</big></big></big></big></big></center>	<center><big><big><b>chṛ</b></big></big></center>
cha_RRI	<center><big><big><big><big><big>छॄ</big></big></big></big></big></center>	<center><big><big><b>chṝ</b></big></big></center>
cha_LLi	<center><big><big><big><big><big>छॢ</big></big></big></big></big></center>	<center><big><big><b>chḷ</b></big></big></center>
cha_e	<center><big><big><big><big><big>छे</big></big></big></big></big></center>	<center><big><big><b>che</b></big></big></center>
cha_ai	<center><big><big><big><big><big>छै</big></big></big></big></big></center>	<center><big><big><b>chai</b></big></big></center>
cha_o	<center><big><big><big><big><big>छो</big></big></big></big></big></center>	<center><big><big><b>cho</b></big></big></center>
cha_au	<center><big><big><big><big><big>छौ</big></big></big></big></big></center>	<center><big><big><b>chau</b></big></big></center>
cha_aM	<center><big><big><big><big><big>छं</big></big></big></big></big></center>	<center><big><big><b>chaṁ</b></big></big></center>
cha_aH	<center><big><big><big><big><big>छः</big></big></big></big></big></center>	<center><big><big><b>chaḥ</b></big></big></center>
ja_aa	<center><big><big><big><big><big>जा</big></big></big></big></big></center>	<center><big><big><b>jā</b></big></big></center>
ja_i	<center><big><big><big><big><big>जि</big></big></big></big></big></center>	<center><big><big><b>ji</b></big></big></center>
ja_ii	<center><big><big><big><big><big>जी</big></big></big></big></big></center>	<center><big><big><b>jī</b></big></big></center>
ja_u	<center><big><big><big><big><big>जु</big></big></big></big></big></center>	<center><big><big><b>ju</b></big></big></center>
ja_uu	<center><big><big><big><big><big>जू</big></big></big></big></big></center>	<center><big><big><b>jū</b></big></big></center>
ja_RRi	<center><big><big><big><big><big>जृ</big></big></big></big></big></center>	<center><big><big><b>jṛ</b></big></big></center>
ja_RRI	<center><big><big><big><big><big>जॄ</big></big></big></big></big></center>	<center><big><big><b>jṝ</b></big></big></center>
ja_LLi	<center><big><big><big><big><big>जॢ</big></big></big></big></big></center>	<center><big><big><b>jḷ</b></big></big></center>
ja_e	<center><big><big><big><big><big>जे</big></big></big></big></big></center>	<center><big><big><b>je</b></big></big></center>
ja_ai	<center><big><big><big><big><big>जै</big></big></big></big></big></center>	<center><big><big><b>jai</b></big></big></center>
ja_o	<center><big><big><big><big><big>जो</big></big></big></big></big></center>	<center><big><big><b>jo</b></big></big></center>
ja_au	<center><big><big><big><big><big>जौ</big></big></big></big></big></center>	<center><big><big><b>jau</b></big></big></center>
ja_aM	<center><big><big><big><big><big>जं</big></big></big></big></big></center>	<center><big><big><b>jaṁ</b></big></big></center>
ja_aH	<center><big><big><big><big><big>जः</big></big></big></big></big></center>	<center><big><big><b>jaḥ</b></big></big></center>
jha_aa	<center><big><big><big><big><big>झा</big></big></big></big></big></center>	<center><big><big><b>jhā</b></big></big></center>
jha_i	<center><big><big><big><big><big>झि</big></big></big></big></big></center>	<center><big><big><b>jhi</b></big></big></center>
jha_ii	<center><big><big><big><big><big>झी</big></big></big></big></big></center>	<center><big><big><b>jhī</b></big></big></center>
jha_u	<center><big><big><big><big><big>झु</big></big></big></big></big></center>	<center><big><big><b>jhu</b></big></big></center>
jha_uu	<center><big><big><big><big><big>झू</big></big></big></big></big></center>	<center><big><big><b>jhū</b></big></big></center>
jha_RRi	<center><big><big><big><big><big>झृ</big></big></big></big></big></center>	<center><big><big><b>jhṛ</b></big></big></center>
jha_RRI	<center><big><big><big><big><big>झॄ</big></big></big></big></big></center>	<center><big><big><b>jhṝ</b></big></big></center>
jha_LLi	<center><big><big><big><big><big>झॢ</big></big></big></big></big></center>	<center><big><big><b>jhḷ</b></big></big></center>
jha_e	<center><big><big><big><big><big>झे</big></big></big></big></big></center>	<center><big><big><b>jhe</b></big></big></center>
jha_ai	<center><big><big><big><big><big>झै</big></big></big></big></big></center>	<center><big><big><b>jhai</b></big></big></center>
jha_o	<center><big><big><big><big><big>झो</big></big></big></big></big></center>	<center><big><big><b>jho</b></big></big></center>
jha_au	<center><big><big><big><big><big>झौ</big></big></big></big></big></center>	<center><big><big><b>jhau</b></big></big></center>
jha_aM	<center><big><big><big><big><big>झं</big></big></big></big></big></center>	<center><big><big><b>jhaṁ</b></big></big></center>
jha_aH	<center><big><big><big><big><big>झः</big></big></big></big></big></center>	<center><big><big><b>jhaḥ</b></big></big></center>
JNa_aa	<center><big><big><big><big><big>ञा</big></big></big></big></big></center>	<center><big><big><b>ñā</b></big></big></center>
JNa_i	<center><big><big><big><big><big>ञि</big></big></big></big></big></center>	<center><big><big><b>ñi</b></big></big></center>
JNa_ii	<center><big><big><big><big><big>ञी</big></big></big></big></big></center>	<center><big><big><b>ñī</b></big></big></center>
JNa_u	<center><big><big><big><big><big>ञु</big></big></big></big></big></center>	<center><big><big><b>ñu</b></big></big></center>
JNa_uu	<center><big><big><big><big><big>ञू</big></big></big></big></big></center>	<center><big><big><b>ñū</b></big></big></center>
JNa_RRi	<center><big><big><big><big><big>ञृ</big></big></big></big></big></center>	<center><big><big><b>ñṛ</b></big></big></center>
JNa_RRI	<center><big><big><big><big><big>ञॄ</big></big></big></big></big></center>	<center><big><big><b>ñṝ</b></big></big></center>
JNa_LLi	<center><big><big><big><big><big>ञॢ</big></big></big></big></big></center>	<center><big><big><b>ñḷ</b></big></big></center>
JNa_e	<center><big><big><big><big><big>ञे</big></big></big></big></big></center>	<center><big><big><b>ñe</b></big></big></center>
JNa_ai	<center><big><big><big><big><big>ञै</big></big></big></big></big></center>	<center><big><big><b>ñai</b></big></big></center>
JNa_o	<center><big><big><big><big><big>ञो</big></big></big></big></big></center>	<center><big><big><b>ño</b></big></big></center>
JNa_au	<center><big><big><big><big><big>ञौ</big></big></big></big></big></center>	<center><big><big><b>ñau</b></big></big></center>
JNa_aM	<center><big><big><big><big><big>ञं</big></big></big></big></big></center>	<center><big><big><b>ñaṁ</b></big></big></center>
JNa_aH	<center><big><big><big><big><big>ञः</big></big></big></big></big></center>	<center><big><big><b>ñaḥ</b></big></big></center>
Ta_aa	<center><big><big><big><big><big>टा</big></big></big></big></big></center>	<center><big><big><b>ṭā</b></big></big></center>
Ta_i	<center><big><big><big><big><big>टि</big></big></big></big></big></center>	<center><big><big><b>ṭi</b></big></big></center>
Ta_ii	<center><big><big><big><big><big>टी</big></big></big></big></big></center>	<center><big><big><b>ṭī</b></big></big></center>
Ta_u	<center><big><big><big><big><big>टु</big></big></big></big></big></center>	<center><big><big><b>ṭu</b></big></big></center>
Ta_uu	<center><big><big><big><big><big>टू</big></big></big></big></big></center>	<center><big><big><b>ṭū</b></big></big></center>
Ta_RRi	<center><big><big><big><big><big>टृ</big></big></big></big></big></center>	<center><big><big><b>ṭṛ</b></big></big></center>
Ta_RRI	<center><big><big><big><big><big>टॄ</big></big></big></big></big></center>	<center><big><big><b>ṭṝ</b></big></big></center>
Ta_LLi	<center><big><big><big><big><big>टॢ</big></big></big></big></big></center>	<center><big><big><b>ṭḷ</b></big></big></center>
Ta_e	<center><big><big><big><big><big>टे</big></big></big></big></big></center>	<center><big><big><b>ṭe</b></big></big></center>
Ta_ai	<center><big><big><big><big><big>टै</big></big></big></big></big></center>	<center><big><big><b>ṭai</b></big></big></center>
Ta_o	<center><big><big><big><big><big>टो</big></big></big></big></big></center>	<center><big><big><b>ṭo</b></big></big></center>
Ta_au	<center><big><big><big><big><big>टौ</big></big></big></big></big></center>	<center><big><big><b>ṭau</b></big></big></center>
Ta_aM	<center><big><big><big><big><big>टं</big></big></big></big></big></center>	<center><big><big><b>ṭaṁ</b></big></big></center>
Ta_aH	<center><big><big><big><big><big>टः</big></big></big></big></big></center>	<center><big><big><b>ṭaḥ</b></big></big></center>
Tha_aa	<center><big><big><big><big><big>ठा</big></big></big></big></big></center>	<center><big><big><b>ṭhā</b></big></big></center>
Tha_i	<center><big><big><big><big><big>ठि</big></big></big></big></big></center>	<center><big><big><b>ṭhi</b></big></big></center>
Tha_ii	<center><big><big><big><big><big>ठी</big></big></big></big></big></center>	<center><big><big><b>ṭhī</b></big></big></center>
Tha_u	<center><big><big><big><big><big>ठु</big></big></big></big></big></center>	<center><big><big><b>ṭhu</b></big></big></center>
Tha_uu	<center><big><big><big><big><big>ठू</big></big></big></big></big></center>	<center><big><big><b>ṭhū</b></big></big></center>
Tha_RRi	<center><big><big><big><big><big>ठृ</big></big></big></big></big></center>	<center><big><big><b>ṭhṛ</b></big></big></center>
Tha_RRI	<center><big><big><big><big><big>ठॄ</big></big></big></big></big></center>	<center><big><big><b>ṭhṝ</b></big></big></center>
Tha_LLi	<center><big><big><big><big><big>ठॢ</big></big></big></big></big></center>	<center><big><big><b>ṭhḷ</b></big></big></center>
Tha_e	<center><big><big><big><big><big>ठे</big></big></big></big></big></center>	<center><big><big><b>ṭhe</b></big></big></center>
Tha_ai	<center><big><big><big><big><big>ठै</big></big></big></big></big></center>	<center><big><big><b>ṭhai</b></big></big></center>
Tha_o	<center><big><big><big><big><big>ठो</big></big></big></big></big></center>	<center><big><big><b>ṭho</b></big></big></center>
Tha_au	<center><big><big><big><big><big>ठौ</big></big></big></big></big></center>	<center><big><big><b>ṭhau</b></big></big></center>
Tha_aM	<center><big><big><big><big><big>ठं</big></big></big></big></big></center>	<center><big><big><b>ṭhaṁ</b></big></big></center>
Tha_aH	<center><big><big><big><big><big>ठः</big></big></big></big></big></center>	<center><big><big><b>ṭhaḥ</b></big></big></center>
Da_aa	<center><big><big><big><big><big>डा</big></big></big></big></big></center>	<center><big><big><b>ḍā</b></big></big></center>
Da_i	<center><big><big><big><big><big>डि</big></big></big></big></big></center>	<center><big><big><b>ḍi</b></big></big></center>
Da_ii	<center><big><big><big><big><big>डी</big></big></big></big></big></center>	<center><big><big><b>ḍī</b></big></big></center>
Da_u	<center><big><big><big><big><big>डु</big></big></big></big></big></center>	<center><big><big><b>ḍu</b></big></big></center>
Da_uu	<center><big><big><big><big><big>डू</big></big></big></big></big></center>	<center><big><big><b>ḍū</b></big></big></center>
Da_RRi	<center><big><big><big><big><big>डृ</big></big></big></big></big></center>	<center><big><big><b>ḍṛ</b></big></big></center>
Da_RRI	<center><big><big><big><big><big>डॄ</big></big></big></big></big></center>	<center><big><big><b>ḍṝ</b></big></big></center>
Da_LLi	<center><big><big><big><big><big>डॢ</big></big></big></big></big></center>	<center><big><big><b>ḍḷ</b></big></big></center>
Da_e	<center><big><big><big><big><big>डे</big></big></big></big></big></center>	<center><big><big><b>ḍe</b></big></big></center>
Da_ai	<center><big><big><big><big><big>डै</big></big></big></big></big></center>	<center><big><big><b>ḍai</b></big></big></center>
