#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
a	<center><big><big><big><big><big>अ</big></big></big></big></big></center>	<center><big><big><b>a</b></big></big><br>[sound:a.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Pronounced like:<br>f<b>a</b>r, b<b>a</b>r, st<b>a</b>r<br><br>Not like:<br>s<i>a</i>d, b<i>a</i>d, c<i>a</i>t, d<i>a</i>te<br><br><small>mouth should be open but not too much - not wide open.</small>
aḥ	<center><big><big><big><big><big>अः</big></big></big></big></big></center>	<center><big><big><b>aḥ</b></big></big><br>[sound:aH.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Visarga</li></ul><hr><b>Pronunciation</b><br>Visarga (sending forth) is a sound effect created by the expulsion of extra air that echos the previous vowel.<br><br>For example: When visarga follows the vowel "e", it sounds a bit like the end of the slang version of the word "yes", i.e. "yeah"<br>
ka	<center><big><big><big><big><big>क</big></big></big></big></big></center>	<center><big><big><b>ka</b></big></big><br>[sound:k1a.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Unvoiced</li><li>Guttural (throat)</li></ul><hr><b>Pronunciation</b><br>Pronounced  like the 'k" in;<br><b>k</b>it, <b>k</b>eep, <b>k</b>iss<br><br>or like the "c" in:<br><b>c</b>ar, <b>c</b>ountry, <b>c</b>at.
kha	<center><big><big><big><big><big>ख</big></big></big></big></big></center>	<center><big><big><b>kha</b></big></big><br>[sound:kha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Unvoiced</li><li>Guttural (throat)</li></ul><hr><b>Pronunciation</b><br>Pronounced like "k" but with extra expulssion of  air right after it -  before the vowel.<br><br>Tips: try saying "lake" and "house" one after the other with no gap. The last sound of "lake" and the first sound of "house" will combine to exact sound of "kha".<br><br><br>
ga	<center><big><big><big><big><big>ग</big></big></big></big></big></center>	<center><big><big><b>ga</b></big></big><br>[sound:ga.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Voiced</li><li>Guttural (throat)</li></ul><hr><b>Pronunciation</b><br>Pronounced  like the "g" in:<br>go, dog, give.<br><br>Not like the  "g" in:<br>age, rage, cage.
gha	<center><big><big><big><big><big>घ</big></big></big></big></big></center>	<center><big><big><b>gha</b></big></big><br>[sound:gha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Voiced</li><li>Guttural (throat)</li></ul><hr><b>Pronunciation</b><br>Pronounced like "g" but with extra expulssion of  air right after it -  before the vowel.<br><br>Tips: try saying "dog" and "house" one after the other with no gap. The last sound of "dog" and the first sound of "house" will combine to the exact sound of "gha".<br><br><br><br><br>
ṅa	<center><big><big><big><big><big>ङ</big></big></big></big></big></center>	<center><big><big><b>ṅa</b></big></big><br>[sound:GNa.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Nasal</li><li>Unaspirated</li><li>Voiced</li><li>Guttural (throat)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "n" sound where it apears before a "k" or a "g" sound.(like the "n" in the word: ink)
ca	<center><big><big><big><big><big>च</big></big></big></big></big></center>	<center><big><big><b>ca</b></big></big><br>[sound:ca.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Unvoiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced  like the "ch" in:<br>chair, check, charm.<br><br><br>
cha	<center><big><big><big><big><big>छ</big></big></big></big></big></center>	<center><big><big><b>cha</b></big></big><br>[sound:cha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Unvoiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced like "ch" in the word "church" but with extra expulssion of  air right after it -  before the vowel.<br><br>Tips: try saying "church" and "house" one after the other with no gap. The last sound of "church" and the first sound of "house" will combine to the exact sound of "cha" (chha).
ja	<center><big><big><big><big><big>ज</big></big></big></big></big></center>	<center><big><big><b>ja</b></big></big><br>[sound:ja.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Voiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced like "j" in"<br>jack, jim, jail.
jha	<center><big><big><big><big><big>झ</big></big></big></big></big></center>	<center><big><big><b>jha</b></big></big><br>[sound:jha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Voiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced like "j", but with extra expulssion of  air right after it - before the vowel.<br><br><br>Tips: try saying "stage" and "house" one after the other with no gap. The last sound of "stage" and the first sound of "house" will combine to the exact sound of "jha".
ña	<center><big><big><big><big><big>ञ</big></big></big></big></big></center>	<center><big><big><b>ña</b></big></big><br>[sound:JNa.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Nasal</li><li>Unaspirated</li><li>Voiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "n" sound where it apears before a "ch" sound.<br>(like the "n" in: incharge)<br><br><br>
